no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
5,Graduate,0,4700000,10200000,16,874,7000000,Approved,7000000,2.170212304210148,1.4571426489796215
4,Not Graduate,1,8700000,30000000,4,370,12100000,Approved,12100000,3.4482754657154637,2.479338638071187
1,Graduate,0,7000000,20500000,10,414,5100000,Rejected,5100000,2.9285710102041413,4.019607054979009
2,Not Graduate,0,600000,1100000,10,800,900000,Approved,900000,1.8333302777828704,1.2222208641990397
1,Not Graduate,0,6800000,16900000,12,779,4400000,Approved,4400000,2.4852937521626837,3.840908217975405
1,Not Graduate,0,6400000,14100000,20,553,3600000,Approved,3600000,2.2031246557617727,3.916665578704006
4,Not Graduate,0,7600000,29900000,18,445,5700000,Rejected,5700000,3.934210008656578,5.2456131148047165
3,Not Graduate,0,9000000,21400000,8,496,12500000,Rejected,12500000,2.377777513580276,1.711999863040011
0,Graduate,1,2400000,5900000,10,650,2300000,Approved,2300000,2.4583323090282048,2.5652162759929236
3,Not Graduate,0,6800000,17900000,6,783,5500000,Approved,5500000,2.632352554065801,3.254544862810025
5,Graduate,1,3500000,13500000,10,535,3100000,Rejected,3100000,3.8571417551023557,4.354837304891192
4,Graduate,1,8900000,34000000,20,415,12800000,Rejected,12800000,3.8202242898624394,2.656249792480485
0,Not Graduate,0,6000000,15300000,8,709,3500000,Approved,3500000,2.549999575000071,4.371427322449336
3,Not Graduate,0,700000,2500000,14,819,900000,Approved,900000,3.5714234693950435,2.777774691361454
0,Not Graduate,1,6800000,17300000,18,841,8700000,Approved,8700000,2.5441172729239305,1.9885055185625842
4,Not Graduate,1,5300000,10700000,12,700,2900000,Approved,2900000,2.0188675436098973,3.6896539001193447
1,Graduate,1,1400000,4200000,4,881,1300000,Approved,1300000,2.999997857144388,3.230766745564042
2,Graduate,1,1400000,4600000,4,804,700000,Approved,700000,3.2857119387771867,6.5714191836868805
4,Not Graduate,0,9200000,21700000,6,653,8600000,Approved,8600000,2.358695395793979,2.523255520551684
1,Graduate,1,7900000,29200000,2,663,10100000,Approved,10100000,3.696202063771891,2.891088822664473
0,Not Graduate,0,4500000,17500000,10,495,6200000,Rejected,6200000,3.8888880246915503,2.822580189906421
1,Not Graduate,0,3800000,9800000,8,335,1800000,Rejected,1800000,2.5789466897508713,5.444441419754766
5,Graduate,1,1500000,4900000,6,618,900000,Approved,900000,3.2666644888903407,5.44443839506845
3,Not Graduate,0,1200000,2400000,12,480,1700000,Rejected,1700000,1.9999983333347222,1.4117638754330144
4,Not Graduate,0,1700000,4900000,18,843,1800000,Approved,1800000,2.882351245675738,2.722220709877383
4,Graduate,0,5200000,14100000,16,483,2700000,Rejected,2700000,2.7115379400888577,5.22222028806656
1,Not Graduate,0,1600000,5100000,12,548,800000,Rejected,800000,3.187498007813745,6.374992031259961
4,Graduate,1,6600000,16000000,16,379,4500000,Rejected,4500000,2.424242056933022,3.5555547654322743
5,Not Graduate,1,9400000,26600000,20,771,11700000,Approved,11700000,2.8297869330013903,2.2735040791876857
4,Graduate,1,300000,500000,2,353,400000,Rejected,400000,1.6666611111296297,1.2499968750078125
5,Not Graduate,0,4600000,11500000,16,668,5500000,Approved,5500000,2.499999456521857,2.0909087107438706
3,Not Graduate,1,6100000,21300000,2,387,4100000,Approved,4100000,3.4918027062618515,5.195120684116906
0,Not Graduate,1,1500000,4100000,12,789,1300000,Approved,1300000,2.733331511112326,3.153843727812517
0,Graduate,1,400000,900000,2,855,400000,Approved,400000,2.2499943750140625,2.2499943750140625
0,Not Graduate,0,8700000,33600000,14,751,7000000,Approved,7000000,3.8620685216013193,4.799999314285812
3,Not Graduate,0,7000000,21600000,12,739,8400000,Approved,8400000,3.0857138448980224,2.571428265306159
4,Graduate,0,4700000,13100000,14,492,6400000,Rejected,6400000,2.787233449524798,2.046874680175831
4,Not Graduate,1,7600000,23800000,16,896,6400000,Approved,6400000,3.1315785353186136,3.718749418945403
1,Not Graduate,1,9200000,24500000,4,545,13300000,Rejected,13300000,2.6630431887996533,1.84210512465375
5,Not Graduate,0,9400000,36800000,20,891,8900000,Approved,8900000,3.9148932005432764,4.134830996086405
0,Graduate,0,4800000,15100000,6,848,3500000,Approved,3500000,3.1458326779515255,4.314284481633005
3,Not Graduate,1,600000,2400000,12,884,600000,Approved,600000,3.9999933333444444,3.9999933333444444
3,Graduate,1,4900000,14300000,14,439,5100000,Rejected,5100000,2.9183667513537244,2.803921018839016
3,Graduate,1,3300000,8500000,12,586,3900000,Approved,3900000,2.5757567952252134,2.179486620644456
3,Graduate,1,9100000,18800000,20,308,4800000,Rejected,4800000,2.0659338389083692,3.9166658506946144
5,Graduate,0,6100000,23500000,16,300,4800000,Rejected,4800000,3.8524583848428877,4.895832313368268
3,Graduate,1,8400000,19600000,2,741,8300000,Approved,8300000,2.3333330555555887,2.3614454986210243
4,Graduate,0,7900000,31400000,8,698,5100000,Approved,5100000,3.974683041179362,6.156861537870287
2,Not Graduate,1,6100000,22300000,10,733,5600000,Approved,5600000,3.655737105616868,3.9821421460460455
3,Not Graduate,1,2000000,4200000,16,571,1300000,Approved,1300000,2.099998950000525,3.230766745564042
3,Graduate,1,9900000,29900000,20,490,7400000,Rejected,7400000,3.0202017151311398,4.040539994521622
2,Not Graduate,0,9500000,25400000,16,451,11400000,Rejected,11400000,2.673683929085902,2.2280699799938612
4,Graduate,1,1900000,6800000,6,559,1200000,Approved,1200000,3.5789454847655344,5.6666619444483795
4,Graduate,1,6900000,21400000,10,577,6300000,Approved,6300000,3.101448825876982,3.396824857646848
2,Not Graduate,1,1500000,5000000,4,613,2100000,Approved,2100000,3.3333311111125927,2.380951247166073
4,Not Graduate,0,1900000,3800000,20,785,1500000,Approved,1500000,1.999998947368975,2.5333316444455702
0,Graduate,1,2300000,6000000,8,690,2000000,Approved,2000000,2.6086945179589054,2.99999850000075
2,Not Graduate,0,7800000,17100000,14,351,7100000,Rejected,7100000,2.1923074112426395,2.408450365006991
4,Not Graduate,0,400000,1000000,10,447,300000,Rejected,300000,2.499993750015625,3.3333222222592593
0,Graduate,1,9400000,19200000,20,708,13200000,Approved,13200000,2.042552974196492,1.4545453443526255
2,Graduate,0,9100000,21700000,12,549,12200000,Rejected,12200000,2.384615122569767,1.7786883787960346
1,Graduate,1,9000000,18800000,8,797,7500000,Approved,7500000,2.0888886567901492,2.506666332444489
4,Not Graduate,0,7100000,14300000,14,537,6100000,Rejected,6100000,2.0140842233684193,2.3442619107767357
3,Graduate,0,800000,2500000,12,828,700000,Approved,700000,3.124996093754883,3.5714234693950435
0,Graduate,1,4500000,9600000,14,471,3600000,Rejected,3600000,2.1333328592593648,2.666665925926132
5,Graduate,0,8500000,25400000,4,336,9000000,Rejected,9000000,2.988234942560595,2.82222190864201
3,Not Graduate,1,2500000,9800000,16,424,1300000,Rejected,1300000,3.9199984320006274,7.538455739649431
2,Graduate,0,1500000,3300000,18,440,1800000,Rejected,1800000,2.1999985333343113,1.8333323148153806
0,Not Graduate,0,6200000,17300000,8,583,3300000,Approved,3300000,2.790322130593205,5.2424226538113174
1,Not Graduate,1,1300000,2900000,6,480,1400000,Rejected,1400000,2.2307675147942194,2.0714270918377915
5,Not Graduate,0,6600000,25800000,10,670,8500000,Approved,8500000,3.9090903168044973,3.0352937605536754
0,Graduate,1,5300000,13700000,6,329,2800000,Rejected,2800000,2.5849051726594015,4.8928553954087874
5,Not Graduate,0,1400000,3000000,6,754,1400000,Approved,1400000,2.142855612245991,2.142855612245991
2,Not Graduate,1,2900000,7800000,18,588,4200000,Approved,4200000,2.689654244946812,1.8571424149660918
3,Not Graduate,0,6500000,16500000,4,551,7600000,Approved,7600000,2.538461147929054,2.171052345914165
3,Graduate,0,8300000,18900000,4,316,8200000,Rejected,8200000,2.277108159384559,2.304877767697833
2,Not Graduate,1,8900000,32200000,12,382,5400000,Rejected,5400000,3.6179771215756045,5.962961858710767
3,Graduate,0,5300000,15000000,6,717,5300000,Approved,5300000,2.83018814524752,2.83018814524752
0,Graduate,0,2800000,7300000,6,676,3200000,Approved,3200000,2.607141926020741,2.2812492871095977
1,Not Graduate,0,8000000,27800000,6,667,9900000,Approved,9900000,3.4749995656250543,2.8080805244363107
3,Not Graduate,0,3900000,10500000,20,821,3900000,Approved,3900000,2.6923070019725635,2.6923070019725635
0,Graduate,0,6200000,20100000,20,345,4100000,Rejected,4100000,3.241934960978232,4.9024378286737
3,Not Graduate,1,5900000,19200000,10,442,4700000,Rejected,4700000,3.2542367365700446,4.0851055138073376
1,Graduate,1,6000000,23300000,12,672,6400000,Approved,6400000,3.883332686111219,3.6406244311524327
3,Not Graduate,1,9100000,29300000,2,508,11900000,Approved,11900000,3.2197798659582566,2.462184667043305
5,Graduate,1,3400000,12300000,10,615,3500000,Approved,3500000,3.6176459948100015,3.5142847102043686
1,Graduate,1,1800000,4400000,8,689,1600000,Approved,1600000,2.4444430864205073,2.749998281251074
1,Graduate,0,300000,1200000,18,747,200000,Rejected,200000,3.999986666711111,5.999970000149999
1,Graduate,1,9000000,22800000,10,412,4700000,Rejected,4700000,2.533333051851883,4.851062797646213
1,Graduate,0,6400000,16900000,2,703,7400000,Approved,7400000,2.6406245874024084,2.283783475164395
5,Not Graduate,0,5800000,22200000,16,884,8500000,Approved,8500000,3.827585546968009,2.611764398615953
5,Graduate,1,2600000,8600000,18,651,2600000,Approved,2600000,3.307691035503448,3.307691035503448
4,Not Graduate,0,6600000,17300000,14,793,3900000,Approved,3900000,2.6212117240588295,4.435896298488129
2,Not Graduate,0,6100000,21800000,4,407,5800000,Approved,5800000,3.5737699059393595,3.758620041617234
2,Not Graduate,0,4100000,11100000,8,390,3400000,Rejected,3400000,2.7073164128496554,3.264704922145611
3,Not Graduate,1,300000,1000000,12,469,300000,Rejected,300000,3.3333222222592593,3.3333222222592593
4,Graduate,0,4700000,10400000,6,373,5400000,Rejected,5400000,2.212765486645641,1.9259255692730428
4,Graduate,1,1500000,5800000,2,304,1400000,Approved,1400000,3.8666640888906074,4.142854183675583
5,Not Graduate,0,2700000,8300000,8,833,3300000,Approved,3300000,3.0740729355285423,2.51515075298462
2,Graduate,0,6900000,20900000,2,302,9200000,Approved,9200000,3.0289850682630335,2.271738883506643
0,Graduate,0,7600000,28700000,6,397,3800000,Rejected,3800000,3.776315292590093,7.5526295914132655
1,Graduate,0,4100000,10000000,6,891,3600000,Approved,3600000,2.43902379536005,2.777777006173054
3,Not Graduate,0,4100000,12200000,2,457,4900000,Rejected,4900000,2.975609030339261,2.4897954102458346
4,Not Graduate,0,1600000,3200000,16,657,1200000,Approved,1200000,1.9999987500007812,2.666664444446296
2,Not Graduate,1,400000,1400000,2,480,200000,Approved,200000,3.499991250021875,6.999965000174999
5,Graduate,1,4400000,17300000,20,840,2300000,Approved,2300000,3.9318172882233435,7.521735860114844
2,Not Graduate,1,3800000,8000000,12,866,1900000,Approved,1900000,2.1052626038782623,4.210524099724158
0,Not Graduate,0,4300000,17000000,8,619,3900000,Approved,3900000,3.9534874526773365,4.358973241288912
1,Graduate,1,9000000,33500000,2,748,11500000,Approved,11500000,3.722221808642021,2.913043224952763
3,Not Graduate,1,9500000,25500000,12,881,8900000,Approved,8900000,2.684210243767343,2.8651682173968296
2,Graduate,1,6900000,13900000,8,829,4600000,Approved,4600000,2.0144924616677593,3.0217384735351143
3,Not Graduate,0,4300000,11100000,6,312,3300000,Rejected,3300000,2.581394748512849,3.363635344352926
3,Not Graduate,0,6600000,21400000,10,467,5200000,Rejected,5200000,3.2424237511479164,4.115383823964649
1,Graduate,1,5200000,14300000,18,650,3600000,Approved,3600000,2.7499994711539477,3.972221118827467
3,Graduate,1,400000,1100000,6,711,100000,Approved,100000,2.7499931250171876,10.999890001099988
4,Not Graduate,0,1300000,4100000,18,886,600000,Approved,600000,3.153843727812517,6.833321944463426
5,Not Graduate,0,9700000,28400000,4,494,10000000,Rejected,10000000,2.927834749707758,2.8399997160000283
2,Graduate,1,5400000,10900000,14,741,5600000,Approved,5600000,2.018518144718862,1.946428223852103
4,Not Graduate,0,1200000,3300000,12,876,1000000,Approved,1000000,2.749997708335243,3.2999967000033
0,Graduate,1,7000000,26400000,14,610,5300000,Approved,5300000,3.771428032653138,4.981131135635635
5,Graduate,0,7600000,26000000,6,778,10900000,Approved,10900000,3.4210521814405026,2.385320882080653
5,Graduate,1,700000,1800000,14,571,400000,Approved,400000,2.5714248979644316,4.499988750028125
3,Graduate,1,7500000,25100000,18,554,4700000,Approved,4700000,3.346666220444504,5.3404243956543835
0,Not Graduate,1,2300000,6200000,8,712,1500000,Approved,1500000,2.6956510018908686,4.133330577779615
5,Not Graduate,1,5600000,11500000,4,695,7800000,Approved,7800000,2.05357106186231,1.4743587853386173
0,Not Graduate,1,5400000,10900000,20,366,4800000,Rejected,4800000,2.018518144718862,2.270832860243154
1,Not Graduate,1,1800000,5500000,10,426,1600000,Rejected,1600000,3.0555538580256343,3.4374978515638426
0,Not Graduate,0,2900000,6900000,10,320,1500000,Rejected,1500000,2.3793095243760263,4.599996933335378
3,Not Graduate,1,1400000,4600000,8,543,2000000,Rejected,2000000,3.2857119387771867,2.299998850000575
2,Graduate,0,2800000,11000000,16,525,2400000,Rejected,2400000,3.928570025510705,4.583331423611907
0,Not Graduate,1,3300000,13100000,12,812,4300000,Approved,4300000,3.9696957667588584,3.046510919416065
0,Not Graduate,0,7000000,25300000,14,697,6700000,Approved,6700000,3.6142851979592576,3.776118839385248
1,Not Graduate,0,3900000,15100000,12,527,3800000,Rejected,3800000,3.8717938790272104,3.97368316482022
1,Not Graduate,0,5700000,17200000,4,512,3000000,Approved,3000000,3.017543330255556,5.733331422222859
0,Graduate,0,4100000,9200000,4,671,4900000,Approved,4900000,2.243901891731246,1.8775506372345638
1,Graduate,1,2200000,8700000,20,539,2600000,Rejected,2600000,3.9545436570256105,3.3461525591720926
5,Not Graduate,0,2200000,7200000,10,532,1600000,Rejected,1600000,3.272725785124643,4.499997187501758
3,Not Graduate,1,2500000,7700000,16,485,3200000,Rejected,3200000,3.0799987680004928,2.40624924804711
0,Not Graduate,1,900000,2100000,6,521,700000,Rejected,700000,2.3333307407436212,2.9999957142918365
1,Not Graduate,0,2900000,7400000,10,874,3300000,Approved,3300000,2.551723258026463,2.2424235629019504
2,Not Graduate,0,9800000,22900000,10,788,14000000,Approved,14000000,2.3367344554352596,1.6357141688775594
2,Not Graduate,0,5200000,14800000,12,659,4100000,Approved,4100000,2.8461532988166733,3.6097552171328737
1,Graduate,1,8600000,19600000,16,498,5300000,Rejected,5300000,2.279069502433779,3.6981125097900924
2,Graduate,1,4800000,13200000,20,310,4200000,Rejected,4200000,2.749999427083453,3.1428563945580015
0,Graduate,0,2000000,4700000,6,785,1700000,Approved,1700000,2.3499988250005877,2.7647042560563198
0,Graduate,0,3600000,8700000,10,309,3300000,Rejected,3300000,2.4166659953705567,2.636362837465807
3,Not Graduate,1,5300000,19600000,2,433,3000000,Approved,3000000,3.6981125097900924,6.533331155556281
1,Not Graduate,1,400000,1300000,18,801,600000,Approved,600000,3.2499918750203123,2.1666630555615742
3,Graduate,1,6500000,22400000,6,488,6800000,Rejected,6800000,3.446153315976413,3.294117162629829
0,Not Graduate,1,2300000,6000000,16,756,1200000,Approved,1200000,2.6086945179589054,4.999995833336806
3,Graduate,0,1000000,2800000,4,757,900000,Approved,900000,2.7999972000028,3.1111076543248286
5,Not Graduate,0,3200000,10100000,6,828,3000000,Approved,3000000,3.1562490136721832,3.3666655444448184
3,Graduate,1,3400000,7200000,12,733,2200000,Approved,2200000,2.1176464359863423,3.272725785124643
0,Not Graduate,0,9600000,38200000,8,421,13800000,Rejected,13800000,3.9791662521701823,2.768115741440888
3,Not Graduate,0,5300000,20300000,4,872,7600000,Approved,7600000,3.83018795656831,2.6710522801247
3,Graduate,0,4700000,17400000,10,393,5300000,Rejected,5300000,3.7021268718878995,3.283018248487123
3,Graduate,0,9700000,37800000,12,700,11900000,Approved,11900000,3.896906814751875,3.176470321305015
5,Graduate,0,8800000,21600000,18,613,8400000,Approved,8400000,2.4545451756198666,2.571428265306159
5,Graduate,0,5900000,13400000,6,455,6900000,Rejected,6900000,2.271186055731177,1.9420287040538111
4,Graduate,1,2400000,7100000,16,871,3500000,Approved,3500000,2.958332100694958,2.0285708489797574
4,Graduate,1,7900000,21500000,16,497,7700000,Rejected,7700000,2.7215186428457416,2.792207429583451
0,Graduate,0,1400000,2700000,2,649,1100000,Approved,1100000,1.9285700510213921,2.4545432231425246
0,Graduate,1,3500000,10000000,14,709,5000000,Approved,5000000,2.85714204081656,1.99999960000008
4,Graduate,0,3400000,13500000,12,705,4900000,Approved,4900000,3.970587067474392,2.755101478550719
2,Graduate,0,6100000,23600000,2,476,3800000,Approved,3800000,3.8688518247783894,6.210524681440873
2,Not Graduate,1,3000000,7100000,4,819,2100000,Approved,2100000,2.3666658777780407,3.3809507709758235
5,Not Graduate,1,3400000,9400000,16,535,3200000,Rejected,3200000,2.7647050692043913,2.937499082031537
0,Graduate,1,400000,1200000,14,889,200000,Approved,200000,2.99999250001875,5.999970000149999
0,Graduate,0,5900000,11800000,12,468,6200000,Rejected,6200000,1.9999996610170065,1.9032254994797582
5,Graduate,1,400000,800000,2,759,300000,Approved,300000,1.9999950000125,2.666657777807407
3,Graduate,1,9000000,33600000,2,426,11900000,Approved,11900000,3.7333329185185646,2.8235291744933466
0,Graduate,1,8800000,23600000,8,712,11100000,Approved,11100000,2.6818178770661505,2.126125934583249
4,Graduate,1,2000000,4700000,2,615,3000000,Approved,3000000,2.3499988250005877,1.5666661444446186
2,Graduate,0,4700000,14000000,12,784,6900000,Approved,6900000,2.978722770484517,2.028985213190549
4,Not Graduate,0,2700000,6100000,16,677,3800000,Approved,3800000,2.2592584224968806,1.605262735457175
1,Not Graduate,0,2600000,7900000,12,306,3300000,Rejected,3300000,3.0384603698229347,2.393938668503434
1,Not Graduate,1,9000000,25400000,16,655,7200000,Approved,7200000,2.82222190864201,3.52777728780871
4,Not Graduate,0,5100000,19400000,8,755,5300000,Approved,5300000,3.803920822760623,3.660376667853459
